1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74219 | time : 31908.88 | batch : 1700/2172
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72852 | time : 32642.46 | batch : 1800/2172
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74609 | time : 33373.09 | batch : 1900/2172
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72852 | time : 34104.56 | batch : 2000/2172
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73047 | time : 34827.29 | batch : 2100/2172
Train Epoch end... Accuracy : 0.7044378784923686
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.67383 | time : 35354.94 | batch : 0/271
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.69727 | time : 35592.95 | batch : 50/271
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.69922 | time : 35805.63 | batch : 100/271
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.65820 | time : 36016.56 | batch : 150/271
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70508 | time : 36227.37 | batch : 200/271
1 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.68359 | time : 36437.61 | batch : 250/271
Validation Epoch end... Accuracy : 0.6847189792256266
Successfully saved!
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71875 | time : 36535.96 | batch : 0/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73242 | time : 37373.20 | batch : 100/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74219 | time : 38113.23 | batch : 200/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.69531 | time : 38847.95 | batch : 300/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73828 | time : 39576.27 | batch : 400/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71484 | time : 40311.47 | batch : 500/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75977 | time : 41041.67 | batch : 600/2172
2 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73047 | time : 41771.36 | batch : 700/2172
